SortOrder;Days Before LU;Location;Merchant Category;KI Country;KI Alpha2;Longitude;Latitude;AVG Spend;Anz Trx;AVG Spend;Anz Trx;Sum;MyLocation
1;9;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;XS;XXS;2;1;2;Luzern
2;9;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XXS;5;1;5;Luzern
3;8;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XS;5;2;10;Luzern
4;8;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
5;7;Engelberg;Supermarket;United Arab Emirates;AE;8.43;46.82;S;XXS;3;1;3;Luzern
6;7;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;XS;5;2;10;Luzern
7;7;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;XXS;2;1;2;Luzern
8;7;Mendrisio;Shopping;United Arab Emirates;AE;8.99;45.89;M;XXS;5;1;5;Luzern
9;6;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
10;5;Bern;Transportation;United Arab Emirates;AE;7.41;46.95;XS;XXS;2;1;2;Luzern
11;5;Interlaken;Shopping;United Arab Emirates;AE;7.86;46.69;S;XXS;3;1;3;Luzern
12;5;Interlaken;Supermarket;United Arab Emirates;AE;7.86;46.69;XS;XS;2;2;4;Luzern
13;5;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
14;5;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;M;XXS;5;1;5;Luzern
15;5;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;XXS;3;1;3;Luzern
16;5;Zürich;Shopping;United Arab Emirates;AE;8.48;47.36;M;XS;5;2;10;Luzern
17;4;Genève;Shopping;United Arab Emirates;AE;6.14;46.21;M;XS;5;2;10;Luzern
18;4;Interlaken;Service Stations;United Arab Emirates;AE;7.86;46.69;XS;XS;2;2;4;Luzern
19;4;Luzern;Hotel;United Arab Emirates;AE;8.33;47.05;XL;XXS;13;1;13;Luzern
20;4;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
21;4;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;XS;3;2;6;Luzern
22;4;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
23;4;Zermatt;Hotel;United Arab Emirates;AE;7.75;45.99;S;XXS;3;1;3;Luzern
24;4;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;XS;3;2;6;Luzern
25;3;Interlaken;Hotel;United Arab Emirates;AE;7.86;46.69;XL;XXS;13;1;13;Luzern
26;3;Lauterbrunnen;Hotel;United Arab Emirates;AE;7.89;46.55;M;XXS;5;1;5;Luzern
27;3;Luzern;Restaurant;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
28;3;Luzern;Shopping;United Arab Emirates;AE;8.33;47.05;S;S;3;3;9;Luzern
29;3;Luzern;Supermarket;United Arab Emirates;AE;8.33;47.05;XS;S;2;3;6;Luzern
30;3;Zürich;Restaurant;United Arab Emirates;AE;8.48;47.36;S;S;3;3;9;Luzern
